"weight","word","color","url"
"17","Ambiente profissional","",""
"17","Assédio moral","",""
"13","Assédio sexual","",""
"13","Racismo","",""
"13","Homofobia","",""
"13","Misoginia","",""
"11","Conflito de interesses","",""
"11","Vantagens indevidas","",""
"11","Uso da marca","",""
"11","Vazamento de informações","",""
"9","Interação com clientes","",""
"9","Likes","",""
"9","Senhas","",""
"9","Phishing","",""
"7","Informações sensíveis","",""
"7","Pirataria","",""
"7","Logs","",""
"7","Inteligência artificial","",""
"5","Danos à carreira","",""
"5","Demissão por justa causa","",""
"5","Multas (LGPD)","",""
"5","Processos criminais","",""
